name,category,available,scale_free,duplicate_of,pct_valid,degenerate,mean_abs_value,corr_with_log_price
cash_flow_yield,fundamental,True,True,,89.05137061947583,False,50173.76783776497,-0.4113818162174596
dividend_yield,fundamental,True,True,,64.09306703118348,False,12.787024303394565,-0.4310389399892803
earnings_yield,fundamental,True,True,,96.10790807261738,False,0.06858053100453837,-0.20885308142145198
price_to_book,fundamental,True,True,,88.97213943408126,False,842.3869285260137,0.38550933955413075
price_to_earnings,fundamental,True,True,,96.09782410356716,False,51.4391621213178,0.3980941728410741
sales_to_price,fundamental,True,True,,80.74490119310961,False,0.6703892635142384,-0.3300255566684821
asset_growth,growth,True,True,,98.93205965868165,False,16359.332753825507,0.17963591361827538
book_value_growth,growth,True,True,,93.93601321480135,False,6743.669705722018,0.14196360678768255
cash_flow_growth,growth,True,True,,91.37948696606985,False,0.9617089004395727,0.11831411950626625
dividends_growth,growth,True,True,,60.29989403829347,False,456.00219634747003,0.24522366946904015
earnings_growth,growth,True,True,,94.37218489197348,False,1.488846811449842,0.17280357177158012
ebitda_growth,growth,True,True,,76.02800462261946,False,0.8461554449017454,0.1463144816124491
equity_growth,growth,True,True,,93.93601321480135,False,6743.669705722018,0.14196360678768255
retained_earnings_growth,growth,True,True,,95.46285417940501,False,1007.6930666470025,0.15999101025413187
revenue_growth,growth,True,True,,71.80410209458442,False,0.20431042526765503,0.1492927148620759
sales_growth,growth,True,True,revenue_growth,71.80410209458442,False,0.20431042526765503,0.1492927148620759
amihud_illiquidity,liquidity,True,False,,99.99983993699921,False,2.7935082570851947e-08,0.40695276497444133
avg_trading_volume,liquidity,True,False,,99.9940776689705,False,6568572.825488982,-0.6007400373416659
book_to_market,liquidity,True,True,,88.97213943408126,False,295809.06224057585,-0.4625571233492034
debt_to_equity_liq,liquidity,True,True,debt_to_equity,74.00672904855351,False,2.7510382655659082,-0.021384890035218967
dollar_volume,liquidity,True,False,,100.0,False,476927040.70871496,0.19625555052458843
ev_to_ebitda,liquidity,True,True,,71.52623272520064,False,607.241254181654,0.43906721222868744
gross_profit_margin_liq,liquidity,True,True,gross_profit_margin,55.457988264180784,False,0.7044262927647773,0.1653704726725844
high_low_spread,liquidity,True,True,,100.0,False,0.02519290374808573,-0.14270198457206537
liquidity_ratio,liquidity,True,True,,93.02605505526975,False,96.56705893942261,-0.8586434335113724
obv,liquidity,True,False,,99.99983993699921,False,266699962.8266211,-0.051152838076140766
price_to_cash_flow,liquidity,True,True,,89.05137061947583,False,9302.284039696295,0.4626662591255981
price_to_sales,liquidity,True,True,,80.74490119310961,False,831.0190575042817,0.3313312152581258
return_on_assets,liquidity,True,True,,90.89113475063785,False,0.07899307682697762,0.3195716805283614
return_on_equity,liquidity,True,True,,87.32541128188055,False,0.70691075531848,0.23002062546997445
trading_volume,liquidity,True,False,,100.0,False,6551727.117169318,-0.58051444879429
turnover_rate,liquidity,True,True,,93.02605505526975,False,3211.0763034521988,-0.28776786424735046
